VOC,NOX,24NOX,M1M1O3
0,1,5.633098673,9.104295586
0,2,15.17439126,3.71420523
0,3,24.41187048,2.298533749
0,4,33.44546864,1.679747052
0,5,42.38304977,1.356041026
0,6,51.25590804,1.189144803
0,7,60.07536079,1.09698721
0,8,68.8486987,1.051186949
0,9,77.57985387,1.040694925
0,10,86.27687569,1.050636275
0,11,94.94473369,1.071340605
0,12,103.5875262,1.098972995
0,13,112.2107193,1.131130705
0,14,120.8149591,1.166232499
0,15,129.4034805,1.203271595
0,16,137.9768788,1.241576537
0,17,146.5374132,1.280688511
0,18,155.0844594,1.320301964
0,19,163.6183107,1.36019444
0,20,172.1421305,1.400198767
0,21,180.6554491,1.440206988
0,22,189.1574537,1.480138196
0,23,197.6515614,1.519919021
0,24,206.1372705,1.559482748
0,25,214.6101819,1.598840249
0,26,223.0767706,1.637921832
0,27,231.5332877,1.676746032
0,28,239.9787049,1.715308212
0,29,248.419793,1.753509104
0,30,256.8526061,1.791395906
0,31,265.2768367,1.828978753
0,32,273.6933744,1.866247448
0,33,282.1026617,1.903159866
0,34,290.5039454,1.939751618
0,35,298.8957173,1.976034591
0,36,307.2835836,2.011955938
0,37,315.663757,2.047539572
0,38,324.0370594,2.082791122
0,39,332.4024544,2.117703755
0,40,340.7646408,2.15227458
0,41,349.120065,2.18649751
0,42,357.4666696,2.220425719
0,43,365.8102121,2.253982569
0,44,374.1448354,2.287225513
0,45,382.476001,2.320144947
0,46,390.8027592,2.352700401
0,47,399.1208247,2.38499982
0,48,407.4344156,2.416947776
0,49,415.7425581,2.448574791
0,50,424.043183,2.47990036
1,1,3.16820688,28.71713933
1,2,10.59916723,15.65678889
1,3,20.5446272,7.867329007
1,4,30.22436884,5.019527552
1,5,39.53672997,3.654306466
1,6,48.68392259,2.869448023
1,7,57.73646982,2.370627011
1,8,66.72647451,2.043800215
1,9,75.6692773,1.823038499
1,10,84.57163006,1.666183079
1,11,93.43504809,1.555112425
1,12,102.2606327,1.478209485
1,13,111.0474393,1.427641826
1,14,119.7977129,1.400079432
1,15,128.5092089,1.393417707
1,16,137.1887118,1.397666733
1,17,145.8361461,1.410197197
1,18,154.4557343,1.428957792
1,19,163.0504826,1.452363778
1,20,171.6242577,1.47920418
1,21,180.1811102,1.508580522
1,22,188.7197887,1.539839304
1,23,197.2429641,1.572473473
1,24,205.7525077,1.606103754
1,25,214.2483127,1.640446618
1,26,222.7342218,1.675295001
1,27,231.2089594,1.710489616
1,28,239.6716262,1.745894346
1,29,248.121556,1.781396367
1,30,256.5670405,1.816902491
1,31,264.9995605,1.852404489
1,32,273.4259132,1.887832877
1,33,281.8406833,1.923139727
1,34,290.2524071,1.958243548
1,35,298.6524043,1.993200055
1,36,307.0437413,2.027938213
1,37,315.4343946,2.062425421
1,38,323.8126862,2.096707136
1,39,332.1826804,2.130742968
1,40,340.5460071,2.164525938
1,41,348.9053162,2.198015819
1,42,357.257787,2.231209696
1,43,365.6013166,2.264204033
1,44,373.9391299,2.296893293
1,45,382.2757699,2.329243096
1,46,390.6006282,2.36135762
1,47,398.9210371,2.393183453
1,48,407.2378351,2.424699278
1,49,415.5513171,2.455920784
1,50,423.8555692,2.486866048
2,1,2.769909171,36.43652764
2,2,7.087466972,35.64743182
2,3,15.76121795,20.222686
2,4,26.0514427,11.37894638
2,5,36.0050131,7.548486161
2,6,45.51845858,5.578920367
2,7,54.81417123,4.403975978
2,8,63.98586051,3.634506363
2,9,73.07772883,3.098434425
2,10,82.11369879,2.714196921
2,11,91.10574648,2.438979013
2,12,100.0612794,2.228892301
2,13,108.9836227,2.066832215
2,14,117.8747668,1.941707705
2,15,126.7364478,1.845680195
2,16,135.5652432,1.773132674
2,17,144.3599027,1.72001535
2,18,153.1215373,1.682930437
2,19,161.8480941,1.664817294
2,20,170.5436927,1.659096475
2,21,179.2060468,1.661488205
2,22,187.8393929,1.670482158
2,23,196.4442391,1.684780913
2,24,205.0228906,1.703298808
2,25,213.5802811,1.725139128
2,26,222.116286,1.749578889
2,27,230.636741,1.776068536
2,28,239.1403309,1.804139321
2,29,247.6281735,1.833443247
2,30,256.1006182,1.863685476
2,31,264.558366,1.894657611
2,32,273.0069912,1.926134558
2,33,281.4424835,1.958028665
2,34,289.8690053,1.990195495
2,35,298.2856509,2.022516878
2,36,306.693256,2.054949863
2,37,315.0961452,2.087368833
2,38,323.4856548,2.119825258
2,39,331.8672957,2.152209849
2,40,340.2458073,2.184501989
2,41,348.6074544,2.216706922
2,42,356.9719894,2.248681956
2,43,365.3220803,2.280568663
2,44,373.669938,2.312191658
2,45,382.006131,2.343706341
2,46,390.3396904,2.374958973
2,47,398.6691355,2.406019035
2,48,406.9869105,2.436857982
2,49,415.3045547,2.46744049
2,50,423.6136666,2.49780268
3,1,2.601111486,40.30948916
3,2,5.661901997,49.36876544
3,3,11.58837925,40.05478499
3,4,21.057385,23.75680288
3,5,31.69103009,14.36513014
3,6,41.82824356,9.85139603
3,7,51.49329897,7.397557624
3,8,60.90747498,5.886876082
3,9,70.17420347,4.877520159
3,10,79.34758968,4.161397338
3,11,88.45308386,3.632624763
3,12,97.50926662,3.233448963
3,13,106.5266958,2.936051645
3,14,115.5108911,2.699964465
3,15,124.4642791,2.510727786
3,16,133.3900212,2.358122247
3,17,142.2898721,2.234816653
3,18,151.1606015,2.135578607
3,19,160.0048164,2.056338927
3,20,168.8210125,1.994081543
3,21,177.6068074,1.946316775
3,22,186.360678,1.911026734
3,23,195.0840337,1.890957536
3,24,203.7782148,1.882538982
3,25,212.4394358,1.881131136
3,26,221.0713686,1.88564294
3,27,229.6780223,1.895104346
3,28,238.2583329,1.908686835
3,29,246.8124217,1.925676006
3,30,255.3471298,1.945424948
3,31,263.8601866,1.9674295
3,32,272.3531546,1.991239948
3,33,280.8315952,2.016528916
3,34,289.2942713,2.043007612
3,35,297.7449528,2.070405201
3,36,306.1802089,2.098536208
3,37,314.605777,2.127238109
3,38,323.0194682,2.15637563
3,39,331.4195758,2.185839222
3,40,339.8132106,2.215546934
3,41,348.197669,2.245413261
3,42,356.5760338,2.275377651
3,43,364.9442632,2.305360958
3,44,373.2995121,2.335376733
3,45,381.6511253,2.365313299
3,46,389.9978722,2.395164351
3,47,398.3343925,2.424968956
3,48,406.6661332,2.454637534
3,49,414.9869887,2.484211487
3,50,423.3087426,2.513543537
4,1,2.490535308,42.48626276
4,2,5.178971706,56.20491865
4,3,9.001068867,57.10443216
4,4,16.33672115,42.3662359
4,5,26.45897712,26.64074186
4,6,37.42409787,16.94517179
4,7,47.7008542,11.94345765
4,8,57.48331658,9.103812133
4,9,66.99390941,7.306222299
4,10,76.34223941,6.081318908
4,11,85.58182683,5.202997559
4,12,94.74888982,4.545418762
4,13,103.8580868,4.039464247
4,14,112.9244072,3.645056852
4,15,121.9527658,3.341600879
4,16,130.9537173,3.093997381
4,17,139.9256852,2.890511563
4,18,148.871804,2.722106355
4,19,157.7947168,2.582171533
4,20,166.6923971,2.465865646
4,21,175.5669246,2.369399253
4,22,184.4146096,2.289969453
4,23,193.2384022,2.225228807
4,24,202.0344639,2.17323836
4,25,210.8006273,2.132495228
4,26,219.5394484,2.101574119
4,27,228.2485816,2.085006786
4,28,236.927788,2.076977679
4,29,245.5782461,2.074816697
4,30,254.2016184,2.077723474
4,31,262.7980468,2.084987473
4,32,271.3685123,2.095956346
4,33,279.9179071,2.110044809
4,34,288.4447436,2.126785977
4,35,296.9503624,2.145722923
4,36,305.43535,2.166504174
4,37,313.9046639,2.188786365
4,38,322.3589138,2.212314383
4,39,330.799561,2.236832522
4,40,339.2244149,2.262198327
4,41,347.6390061,2.288201764
4,42,356.0425671,2.314789714
4,43,364.4331064,2.341769233
4,44,372.8123431,2.369093753
4,45,381.1831044,2.396625854
4,46,389.5455207,2.424330668
4,47,397.8981149,2.452177889
4,48,406.2439671,2.4800867
4,49,414.5846837,2.507993434
4,50,422.9144578,2.535901908
5,1,2.407974317,43.79812305
5,2,4.908710193,60.73235429
5,3,7.924005095,67.49585137
5,4,12.86251444,62.02774488
5,5,21.26245089,44.18759687
5,6,31.95004922,29.07097642
5,7,43.22237349,19.2082349
5,8,53.6192862,13.84747087
5,9,63.49388702,10.70093678
5,10,73.08456759,8.658363601
5,11,82.50129482,7.243219139
5,12,91.80145316,6.215657372
5,13,101.0176294,5.440790694
5,14,110.1747552,4.838304242
5,15,119.2823073,4.359963286
5,16,128.3519115,3.979389426
5,17,137.3909595,3.677782542
5,18,146.3992802,3.427144041
5,19,155.3824221,3.217042065
5,20,164.3416807,3.039826907
5,21,173.2805193,2.889805192
5,22,182.1952329,2.76259565
5,23,191.0866188,2.65476198
5,24,199.9566629,2.563560995
5,25,208.8032462,2.486831842
5,26,217.624113,2.42280817
5,27,226.4223087,2.370011957
5,28,235.1965365,2.327127106
5,29,243.9410412,2.293178591
5,30,252.6558851,2.268600208
5,31,261.3466599,2.256594165
5,32,270.0086535,2.250143797
5,33,278.6419791,2.248578458
5,34,287.2493899,2.251305531
5,35,295.8293849,2.257773294
5,36,304.3857044,2.26749025
5,37,312.9247322,2.27995593
5,38,321.4393563,2.29483346
5,39,329.9347798,2.311727915
5,40,338.4113847,2.330332398
5,41,346.8690596,2.350409567
5,42,355.311932,2.371680079
5,43,363.7417012,2.393955495
5,44,372.1567372,2.417066652
5,45,380.5595708,2.440885219
5,46,388.9477575,2.465314625
5,47,397.3280897,2.4901407
5,48,405.6949179,2.515368144
5,49,414.0524721,2.540893059
5,50,422.4104501,2.566562506
6,1,2.342604272,44.62972463
6,2,4.721181511,63.77588093
6,3,7.39714808,73.68906672
6,4,10.97046409,75.57887451
6,5,17.08384379,64.86809036
6,6,26.32679033,45.81209114
6,7,37.52068206,31.16069047
6,8,49.07247071,21.21525624
6,9,59.57645002,15.5878621
6,10,69.52432719,12.19804264
6,11,79.18370124,9.944998745
6,12,88.66064161,8.360461134
6,13,98.01248477,7.197586217
6,14,107.2752741,6.313668881
6,15,116.4736997,5.621620655
6,16,125.6205791,5.068405839
6,17,134.7243757,4.618456429
6,18,143.7949473,4.255914211
6,19,152.8363662,3.961053362
6,20,161.8503915,3.711996234
6,21,170.8405126,3.499995913
6,22,179.8063488,3.318760951
6,23,188.7548605,3.163021184
6,24,197.6816499,3.028921302
6,25,206.5857266,2.913503566
6,26,215.4701246,2.814211675
6,27,224.332832,2.729002391
6,28,233.1738477,2.656244248
6,29,241.9927459,2.594510892
6,30,250.7860879,2.542647857
6,31,259.5570621,2.499613526
6,32,268.3034543,2.464498026
6,33,277.0199923,2.436626447
6,34,285.7130014,2.421040956
6,35,294.3784691,2.411953548
6,36,303.0181973,2.407460128
6,37,311.6339262,2.407046013
6,38,320.2223342,2.410251035
6,39,328.788143,2.416621405
6,40,337.3280909,2.425808687
6,41,345.8477839,2.437408032
6,42,354.3520731,2.451116109
6,43,362.8328446,2.466631734
6,44,371.2972371,2.483699842
6,45,379.746512,2.502076244
6,46,388.1772854,2.521645052
6,47,396.5906883,2.542155417
6,48,404.9929034,2.563491916
6,49,413.3897518,2.585458797
6,50,421.7686693,2.608030041
7,1,2.289017515,45.18009775
7,2,4.578029385,65.93976562
7,3,7.061107955,78.24351682
7,4,10.03602805,84.15277123
7,5,14.40112022,81.26584123
7,6,21.55050273,65.82178425
7,7,31.50902375,47.26122779
7,8,43.1642599,32.98306022
7,9,54.96958892,23.00549394
7,10,65.56733251,17.18495288
7,11,75.57642942,13.59880327
7,12,85.29364781,11.1675785
7,13,94.82274032,9.433383965
7,14,104.2206198,8.148051929
7,15,113.5252974,7.16315344
7,16,122.7626732,6.38718365
7,17,131.9420917,5.764255553
7,18,141.0771988,5.254865783
7,19,150.1768492,4.8316122
7,20,159.2469664,4.489362353
7,21,168.2877447,4.20340199
7,22,177.3025975,3.95869776
7,23,186.2971769,3.747714792
7,24,195.2698689,3.565218128
7,25,204.2235496,3.406700386
7,26,213.156696,3.26863963
7,27,222.0718723,3.1482564
7,28,230.9652217,3.043477742
7,29,239.8420869,2.952227611
7,30,248.6951459,2.873108648
7,31,257.5286646,2.80473302
7,32,266.3393039,2.746024441
7,33,275.1294631,2.696012702
7,34,283.8965516,2.653826003
7,35,292.6352198,2.618898403
7,36,301.350834,2.590422525
7,37,310.043358,2.572044765
7,38,318.7077105,2.561442789
7,39,327.3456771,2.55510182
7,40,335.9615003,2.552553984
7,41,344.5527185,2.553438299
7,42,353.1203909,2.557376478
7,43,361.6671879,2.564017981
7,44,370.1939587,2.573039979
7,45,378.7019368,2.584151801
7,46,387.1849891,2.597147461
7,47,395.6534311,2.611687464
7,48,404.1028635,2.627647875
7,49,412.5362093,2.644822063
7,50,420.9574584,2.662983355
8,1,2.244027174,45.55397774
8,2,4.462749428,67.53273573
8,3,6.815881507,81.59096817
8,4,9.485520955,89.84362488
8,5,12.90741681,92.33485005
8,6,18.18344863,84.99806194
8,7,26.20305872,66.53194941
8,8,36.79659048,48.55317433
8,9,48.87564545,34.58782399
8,10,60.90896668,24.61221317
8,11,71.58781542,18.65660282
8,12,81.64824242,14.91155364
8,13,91.41460573,12.32907111
8,14,100.9891744,10.46299426
8,15,110.4292763,9.066307458
8,16,119.7745127,7.986961355
8,17,129.0446406,7.133495443
8,18,138.2567482,6.4450851
8,19,147.4185211,5.88015394
8,20,156.5450364,5.408357684
8,21,165.6393728,5.010032071
8,22,174.7056812,4.689149782
8,23,183.745589,4.412982947
8,24,192.7615357,4.17417899
8,25,201.7570969,3.966193539
8,26,210.7344687,3.784396844
8,27,219.6918016,3.624977486
8,28,228.6316223,3.484935677
8,29,237.5526512,3.361754807
8,30,246.4522831,3.253330641
8,31,255.3349673,3.157955487
8,32,264.1981138,3.074230925
8,33,273.0452004,3.000774257
8,34,281.8676509,2.936927117
8,35,290.6690063,2.881565521
8,36,299.4494261,2.833904064
8,37,308.2059224,2.793316118
8,38,316.9421515,2.759128732
8,39,325.6522148,2.730815092
8,40,334.3388957,2.711407722
8,41,343.0011781,2.70000504
8,42,351.6381364,2.692529598
8,43,360.2508055,2.688599802
8,44,368.8433795,2.687862853
8,45,377.4159331,2.689989072
8,46,385.9616766,2.694727378
8,47,394.4873187,2.701762213
8,48,402.9909239,2.710822544
8,49,411.4798159,2.721686782
8,50,419.9488399,2.734157805
9,1,2.205462121,45.81424793
9,2,4.366869162,68.73520723
9,3,6.623606805,84.12770623
9,4,9.105035583,94.32941438
9,5,12.0481516,99.78228736
9,6,16.07298648,98.54589009
9,7,22.2371089,86.35115576
9,8,31.00703422,67.17894932
9,9,42.18060442,49.70475966
9,10,54.65124391,36.01042837
9,11,66.8872382,26.05893657
9,12,77.63486599,20.01287551
9,13,87.73640641,16.14525851
9,14,97.54599764,13.43265079
9,15,107.1625813,11.44948035
9,16,116.6411445,9.951088944
9,17,126.0200138,8.786627839
9,18,135.3211436,7.861507788
9,19,144.5604777,7.111376782
9,20,153.7509116,6.492693043
9,21,162.9002411,5.975381139
9,22,172.0184584,5.536794999
9,23,181.1075001,5.167310266
9,24,190.1705722,4.861827005
9,25,199.2075055,4.596319586
9,26,208.2246579,4.364145283
9,27,217.2210457,4.160273382
9,28,226.1997216,3.980610688
9,29,235.1588042,3.821849025
9,30,244.100406,3.681192769
9,31,253.0247157,3.55647101
9,32,261.9322312,3.445802529
9,33,270.818773,3.34767858
9,34,279.6897266,3.260690586
9,35,288.5404533,3.183807186
9,36,297.37287,3.115999934
9,37,306.1815988,3.056496305
9,38,314.9729704,3.004497345
9,39,323.7477408,2.959299745
9,40,332.4980585,2.920505471
9,41,341.2247562,2.887505655
9,42,349.927967,2.859816919
9,43,358.608446,2.840671923
9,44,367.2625633,2.828981515
9,45,375.8973808,2.820884272
9,46,384.5085319,2.816039165
9,47,393.0990557,2.814178195
9,48,401.6645073,2.815063826
9,49,410.2104088,2.818345079
9,50,418.7366729,2.823808188
10,1,2.17188429,45.99621942
10,2,4.285268527,69.65769346
10,3,6.466129985,86.10767321
10,4,8.816369318,97.79597165
10,5,11.48369902,105.0764708
10,6,14.80421248,107.9470264
10,7,19.54031464,102.9198388
10,8,26.50217016,86.75205207
10,9,35.94295694,67.77155081
10,10,47.65421529,50.73216079
10,11,60.48785071,37.27739983
10,12,72.90276639,27.36776571
10,13,83.70383319,21.27051858
10,14,93.84126549,17.30370721
10,15,103.6877656,14.48298826
10,16,113.3400645,12.39659075
10,17,122.85377,10.80621249
10,18,132.2623339,9.56428547
10,19,141.5929482,8.570608965
10,20,150.8596887,7.762008042
10,21,160.0772316,7.092575608
10,22,169.2507003,6.531138613
10,23,178.3884232,6.054914408
10,24,187.497886,5.6461215
10,25,196.5798474,5.304186871
10,26,205.6367904,5.013188925
10,27,214.6723658,4.757938109
10,28,223.6873436,4.532999462
10,29,232.6839484,4.334016406
10,30,241.6628844,4.157362971
10,31,250.6243083,3.999864322
10,32,259.5684089,3.859716205
